Name,IATA,ICAO,Country
Amber Air,0A,GNT,Lithuania
Blue Air,0B,JOR,Romania
Darwin Airline,0D,DWT,Switzerland
Dummy,0E,\N,France
Global Airlines,0G,GA0,Argentina
Jetclub,0J,,Switzerland
Jetclub,0J,JCS,Switzerland
All America MX,0M,0MM,Mexico
All America BOPY,0P,PYB,Paraguay
Copenhagen Express,0X,CX0,Denmark
All America CO,0Y,7ZC,Colombia
Amadeus Global Travel Distribution,1A,AGT,Spain
Abacus International,1B,,Singapore
Electronic Data Systems,1C,,Switzerland
OneChina,1C,1CH,China
Radixx Solutions International,1D,,United States
Travelsky Technology,1E,,China
TransRussiaAirlines,1E,RGG,Russia
INFINI Travel Information,1F,,Japan
CB Airways UK ( Interliging Flights ),1F,CIF,United Kingdom
Galileo International,1G,,United States
Siren-Travel,1H,,Russia
Hellenic Airways,1H,HEY,Greece
Deutsche Rettungsflugwacht,1I,AMB,Germany
NetJets,1I,EJA,United States
Novair,1I,NVR,Sweden
Pegasus Hava Tasimaciligi,1I,,Turkey
Sierra Nevada Airlines,1I,,United States
Sky Trek International Airlines,1I,,
Sky Trek International Airlines,1I,PZR,United States
Southern Cross Distribution,1K,,Australia
Sutra,1K,,United States
BudgetAir,1K,BG1,Germany
Open Skies Consultative Commission,1L,OSY,United States
JSC Transport Automated Information Systems,1M,,Russia
Navitaire,1N,,United States
Worldspan,1P,,United States
Sirena,1Q,,Russia
Hainan Phoenix Information Systems,1R,,China
All America CL,1R,R1R,Chile
Sabre,1S,,United States
1Time Airline,1T,RNX,South Africa
ITA Software,1U,,United States
Polyot Sirena,1U,,Russia
Island Express Air,1X,\N,Canada
All America BR,1Y,A9B,Brazil
Sabre Pacific,1Z,,Australia
Deutsche Bahn,2A,,Germany
Aerocondor,2B,ARD,Portugal
SNCF,2C,,France
Aero VIP,2D,AOG,Argentina
Alaniya Airlines,2D,\N,Russia
Aero VIP (2D),2D,\N,Portugal
Frontier Flying Service,2F,FTA,United States
Cargoitalia,2G,CRG,Italy
San Juan Airlines,2G,MRR,United States
Thalys,2H,,Belgium
Star Peru (2I),2I,\N,Peru
Air Burkina,2J,VBW,Burkina Faso
Aerolineas Galapagos (Aerogal),2K,GLG,Ecuador
Helvetic Airways,2L,OAW,Switzerland
Moldavian Airlines,2M,MDV,Moldova
NextJet,2N,NTJ,Sweden
Air Salone,2O,,Sierra Leone
Air Philippines,2P,GAP,Philippines
Air Cargo Carriers,2Q,SNC,United States
VIA Rail Canada,2R,,Canada
All America AR,2R,M7A,Argentina
Island Express,2S,SDY,United States
Star Equatorial Airlines,2S,,Guinea
Air Carnival,2S,\N,India
Haiti Ambassador Airlines,2T,HAM,Haiti
Air Guinee Express,2U,GIP,Guinea
Welcome Air,2W,WLC,Austria
Regionalia Uruguay,2X,2K2,Uruguay
Air Andaman (2Y),2Y,AOW,Thailand
Changan Airlines,2Z,CGN,China
JobAir,3B,\N,Czech Republic
RegionsAir,3C,CEA,United States
Palair Macedonia,3D,PMK,Macedonia
Palair Macedonia (3D),3D,\N,Macedonia
Air Choice One,3E,\N,United States
Fly Colombia ( Interliging Flights ),3F,3FF,Colombia
Atlant-Soyuz Airlines,3G,AYZ,Russia
Air Comet Chile,3I,\N,Chile
Zip,3J,WZP,Canada
Jetstar Asia Airways,3K,JSA,Singapore
Intersky,3L,ISK,Austria
Silver Airways (3M),3M,\N,United States
Air Urga,3N,URG,Ukraine
Air Arabia Maroc,3O,\N,Morocco
Tiara Air,3P,TNM,Aruba
Yunnan Airlines,3Q,CYH,China
Moskovia Airlines,3R,GAI,Russia
Aeroland Airways,3S,,Greece
Air Antilles Express,3S,\N,Guadeloupe
Turan Air,3T,URN,Azerbaijan
Sichuan Airlines,3U,CSC,China
TNT Airways,3V,TAY,Belgium
3 Valleys Airlines,3V,VA3,France
Euromanx Airways,3W,EMX,Austria
Malawian Airlines,3W,\N,Malawi
Aguilar Connect,3X,GUI,Chile
Air Kiribati,4A,AKL,Kiribati
Boutique Air (Priv),4B,BTQ,United States
Aires,4C,ARE, S.A.
Air Sinai,4D,ASD,Egypt
Air City,4F,ECE,Germany
Advance Leasing Company,4G,,United States
Gazpromavia,4G,GZP,Russia
United Airways,4H,UBD,Bangladesh
Askari Aviation,4K,AAS,Pakistan
Euroline,4L,MJX,Georgia
LAN Argentina,4M,DSM,Argentina
Air North Charter - Canada,4N,ANT,Canada
Interjet (ABC Aerolineas),4O,\N,Mexico
Business Aviation,4P,\N,Congo (Kinshasa)
Safi Airlines,4Q,\N,Afghanistan
Hamburg International,4R,HHI,Germany
Finalair Congo,4S,FNC,Republic of the Congo
Vuola Italia,4S,VI4,Italy
Belair Airlines,4T,BHP,Switzerland
Germanwings,4U,GWI,Germany
Red Jet Mexico,4X,\N,Mexico
Airbus France,4Y,RBU,France
Airlink (SAA),4Z,\N,South Africa
Alpine Air Express,5A,AIP,United States
Bassaka airlines,5B,BSX,Cambodia
CAL Cargo Air Lines,5C,ICL,Israel
Aerolitoral,5D,SLI,Mexico
DonbassAero,5D,UDC,Ukraine
SGA Airlines,5E,\N,Thailand
Arctic Circle Air Service,5F,CIR,United States
Skyservice Airlines,5G,SSV,Canada
Fly540,5H,FFV,Kenya
Cebu Pacific,5J,CEB,Philippines
Hi Fly,5K,HFY,Portugal
Hi Fly (5K),5K,\N,Portugal
Aerosur,5L,RSU,Bolivia
Sibaviatrans,5M,SIB,Russia
Aeroflot-Nord,5N,AUL,Russia
Pal airlines,5P,\N,Chile
BQB Lineas Aereas,5Q,\N,Uruguay
Canadian North,5T,MPE,Canada
Lviv Airlines,5V,UKW,Ukraine
Astraeus,5W,AEU,United Kingdom
United Parcel Service,5X,UPS,United States
Atlas Air,5Y,GTI,United States
Bismillah Airlines,5Z,BML,Bangladesh
VivaColombia,5Z,VVC,Colombia
Consorcio Aviaxsa,6A,CHP,Mexico
TUIfly Nordic,6B,BLX,Sweden
Vuela Cuba,6C,6CC,Cuba
Pelita,6D,\N,Indonesia
IndiGo Airlines,6E,IGO,India
MAT Airways,6F,MKD,Macedonia
Air Wales,6G,AWW,United Kingdom
Israir,6H,ISR,Israel
International Business Air,6I,IBZ,Sweden
Fly 6ix,6I,\N,Sierra Leone
Skynet Asia Airways,6J,SNJ,Japan
Asian Spirit,6K,RIT,Philippines
Nordic Regional,6N,NRD,Sweden
Club Air,6P,ISG,Italy
Gryphon Airlines,6P,\N,United States
Slovak Airlines,6Q,SLL,Slovakia
Alrosa Mirny Air Enterprise,6R,DRU,Russia
Air Mandalay,6T,\N,Burma
Air Ukraine,6U,UKR,Ukraine
Air Cargo Germany,6U,\N,Germany
Air Vegas,6V,VGA,United States
Axis Airways,6V,AXY,France
Mars RK,6V,MRW,Ukraine
Via Conectia Airlines,6V,CZV,Uruguay
Saratov Aviation Division,6W,SOV,Russia
SmartLynx Airlines,6Y,\N,Latvia
Ukrainian Cargo Airways,6Z,UKS,Ukraine
Aztec Worldwide Airlines,7A,,United States
Krasnojarsky Airlines,7B,KJC,Russia
Jeju Air,7C,JJA,Republic of Korea
Aeroline GmbH,7E,AWU,Germany
First Air,7F,FAB,Canada
Star Flyer,7G,SFJ,Japan
Era Alaska,7H,ERR,United States
Insel Air (7I/INC) (Priv),7I,\N,Netherlands Antilles
Tajik Air,7J,\N,Tajikistan
Kogalymavia Air Company,7K,KGL,Russia
Sun D'Or,7L,ERO,Israel
Mongolian International Air Lines ,7M,ZTF,Mongolia
Centavia,7N,CNA,Serbia
Galaxy Air,7O,GAL,Kyrgyzstan
All Colombia,7O,7KK,Colombia
Metro Batavia,7P,BTV,Indonesia
Pan Am World Airways Dominicana,7Q,\N,Dominican Republic
BRA-Transportes Aereos,7R,BRB,Brazil
Svyaz Rossiya,7R,SJM,Russia
Air Glaciers,7T,AGV,Switzerland
Tobruk Air,7T,TOB,Libya
ROYAL BRITAIN,7V,ROB,United Kingdom
Wayraper,7W,,Peru
Med Airways,7Y,\N,Lebanon
Halcyonair,7Z,\N,Cape Verde
Atlas Blue,8A,BMM,Morocco
Caribbean Star Airlines,8B,GFI,Antigua and Barbuda
BusinessAir,8B,BCC,Thailand
Air Transport International,8C,ATN,United States
Air Horizon,8C,HZT,Togo
Shanxi Airlines,8C,CXI,China
Astair,8D,,Russian Federation
Expo Aviation,8D,EXV,Sri Lanka
Servant Air,8D,,United States
Bering Air,8E,BRG,United States
Fischer Air,8F,FFR,Czech Republic
STP Airways,8F,STP,Sao Tome and Principe
Heli France,8H,HFR,France
Myway Airlines,8I,,Italy
Jet4You,8J,JFU,Morocco
Komiinteravia,8J,KMV,Russia
Voestar,8K,K88,Brazil
Cargo Plus Aviation,8L,CGP,United Arab Emirates
Redhill Aviation,8L,RHC,United Kingdom
Maxair,8M,MXL,Sweden
Myanmar Airways International,8M,MMM,Myanmar
Barents AirLink,8N,NKF,Sweden
West Coast Air,8O,,Canada
Pacific Coastal Airline,8P,PCO,Canada
Baker Aviation,8Q,BAJ,United States
Onur Air,8Q,OHY,Turkey
Princess Air,8Q,,
Maldivian Air Taxi,8Q,\N,Maldives
TRIP Linhas A,8R,TIB,Brazil
Scorpio Aviation,8S,,
Air Tindi,8T,,Canadian Territories
Afriqiyah Airways,8U,AAW,Libya
Astral Aviation,8V,ACP,Kenya
Wright Air Service,8V,WRF,United States
BAX Global,8W,,
Private Wings Flugcharter,8W,PWF,Germany
Air Burundi,8Y,PBU,Burundi
China Postal Airlines,8Y,CYZ,China
Linea Aerea de Servicio Ejecutivo Regional,8z,LER,Venezuela
Wizz Air Hungary,8Z,WVL,Bulgaria
Air Atlantic,9A,\N,Canada
All Africa,9A,99F,South Africa
China SSS,9C,\N,China
Pinnacle Airlines,9E,FLG,United States
Tramm Airlines,9F,TLM,Netherlands Antilles
MDLR Airlines,9H,\N,India
Thai Sky Airlines,9I,TKY,Thailand
International Europe,9I,INE,Spain
Regionalia Chile,9J,CR1,Chile
Cape Air,9K,KAP,United States
Colgan Air,9L,CJC,United States
Regional Air Iceland,9N,N78,Iceland
National Airways Cameroon,9O,,Cameroon
Pelangi ,9P,\N,Malaysia
PB Air,9Q,PBA,Thailand
Phuket Air,9R,VAP,Thailand
SATENA,9R,NSE,Colombia
Spring Airlines,9S,CQH,China
Transwest Air,9T,ABS,Canada
Air Moldova,9U,MLD,Moldova
Volotea Costa Rica,9V,VC9,Costa Rica
Jet Airways,9W,JAI,India
Itali Airlines,9X,ACL,Italy
Regionalia Venezuela,9X,9XX,Venezuela
Air Kazakhstan,9Y,KZK,Kazakhstan
Atifly,A1,A1F,United States
Cielos Airlines,A2,CIU,Peru
All America,A2,AL2,United States
Aegean Airlines,A3,AEE,Greece
Southern Winds Airlines,A4,SWD,Argentina
Airlinair,A5,RLA,France
Air Alps Aviation,A6,LPV,Austria
Air Alps Aviation (A6),A6,\N,Austria
Air Plus Comet,A7,MPD,Spain
Benin Golf Air,A8,BGL,Benin
Georgian Airways,A9,TGZ,Georgia
American Airlines,AA,AAL,United States
Air Berlin,AB,BER,Germany
Air Canada,AC,ACA,Canada
Air Paradise International,AD,PRZ,Indonesia
Azul,AD,AZU,Brazil
Mandarin Airlines,AE,MDA,Taiwan
Air France,AF,AFR,France
Air Contractors,AG,ABR,Ireland
All America US,AG,SSA,United States
Air Algerie,AH,DAH,Algeria
Air India Limited,AI,AIC,India
Aero Contractors,AJ,NIG,Nigeria
AirAsia,AK,AXM,Malaysia
Skywalk Airlines,AL,SYX,United States
Transaviaexport,AL,TXC,Belarus
AeroMéxico,AM,AMX,Mexico
Ansett Australia,AN,AAA,Australia
Australian Airlines,AO,AUZ,Australia
Avianova (Russia),AO,\N,Russia
Airbus Industrie,AP,AIB,France
Air One,AP,ADH,Italy
Aloha Airlines,AQ,AAH,United States
Aerolineas Argentinas,AR,ARG,Argentina
Alaska Airlines,AS,ASA,ALASKA
Royal Air Maroc,AT,RAM,Morocco
Austral Lineas Aereas,AU,AUT,Argentina
Avianca - Aerovias Nacionales de Colombia,AV,AVA,AVIANCA
CHC Airways,AW,SCH,Netherlands
Dirgantara Air Service,AW,DIR,Indonesia
Asian Wings Airways,AW,AWM,Burma
Trans States Airlines,AX,LOF,United States
Finnair,AY,FIN,Finland
Alitalia,AZ,AZA,Italy
Aws express,B0,666,United States
Baltic Air lines,B1,BA1,Latvia
Belavia Belarusian Airlines,B2,BRU,Belarus
Bellview Airlines,B3,BLV,Nigeria
BACH Flugbetriebsges,B4,BCF,Austria
Bankair,B4,BKA,United States
Flyglobespan,B4,GSM,United Kingdom
Flightline,B5,FLT,United Kingdom
JetBlue Airways,B6,JBU,United States
Uni Air,B7,UIA,Taiwan
Eritrean Airlines,B8,ERT,Eritrea
Air Bangladesh,B9,BGD,Bangladesh
British Airways,BA,BAW,United Kingdom
Seaborne Airlines,BB,SBS,United States
Skymark Airlines,BC,SKY,Japan
bmi,BD,BMA,United Kingdom
Flybe,BE,BEE,United Kingdom
Aero-Service,BF,RSR,Republic of the Congo
Bluebird Cargo,BF,BBD,Iceland
Biman Bangladesh Airlines,BG,BBC,Bangladesh
Hawkair,BH,,Canada
Royal Brunei Airlines,BI,RBA,Brunei
Nouvel Air Tunisie,BJ,LBT,Tunisia
Potomac Air,BK,PDC,United States
Jetstar Pacific,BL,PIC,Vietnam
Air Sicilia,BM,,Italy
Bayu Indonesia Air,BM,BYE,Indonesia
Braniff International Airways,BN,BNF,United States
Forward Air International Airlines,BN,,United States
Horizon Airlines,BN,HZA,Australia
Bouraq Indonesia Airlines,BO,BOU,Indonesia
Air Botswana,BP,BOT,Botswana
Aeromar,BQ,ROM,Dominican Republic
Buquebus Líneas Aéreas,BQ,BQB,Uruguay
EVA Air,BR,EVA,Taiwan
British International Helicopters,BS,BIH,United Kingdom
Air Baltic,BT,BTI,Latvia
Braathens,BU,BRA,Norway
Blue Sky America,BU,BKY,United States
Baikotovitchestrian Airlines ,BU,BUU,American Samoa
Blue Panorama Airlines,BV,BPA,Italy
Caribbean Airlines,BW,BWA,Trinidad and Tobago
Coast Air,BX,CST,Norway
Air Busan,BX,ABL,Republic of Korea
Thomsonfly,BY,TOM,United Kingdom
Blue Dart Aviation,BZ,BDA,India
Keystone Air Services,BZ,KEE,Canada
Aero Brazil,BZ,BZL,Brazil
Black Stallion Airways,BZ,BSA,United States
Centralwings,C0,CLW,Poland
CanXpress,C1,CA1,Canada
CanXplorer,C2,CAP,Canada
Contact Air,C3,KIS,Germany
ICAR Airlines,C3,,Ukraine
QatXpress,C3,QAX,Qatar
Zimex Aviation,C4,IMX,Switzerland
LionXpress,C4,LIX,Cameroon
CommutAir,C5,UCA,United States
CanJet,C6,CJA,Canada
Rico Linhas A,C7,RLE,Brazil
Sky Wing Pacific,C7,CR7,South Korea
Chicago Express,C8,WDY,United States
Chicago Express (C8),C8,\N,United States
Cirrus Airlines,C9,RUS,Germany
Air China,CA,CCA,China
Suckling Airways,CB,\N,United Kingdom
CCML Airlines,CB,CCC,Colombia
Air Atlanta Icelandic,CC,ABD,Iceland
Macair Airlines,CC,MCK,Australia
Alliance Air,CD,LLR,India
Air India Regional,CD,\N,India
Nationwide Airlines,CE,NTW,South Africa
City Airline,CF,SDR,Sweden
Airlines PNG,CG,TOK,Papua New Guinea
Bemidji Airlines,CH,BMJ,United States
China Airlines,CI,CAL,Taiwan
China Northern Airlines,CJ,CBF,China
BA CityFlyer,CJ,CFE,United Kingdom
China Cargo Airlines,CK,CKK,China
Lufthansa CityLine,CL,CLH,Germany
Copa Airlines,CM,CMP,Panama
Islands Nationair,CN,,Papua New Guinea
Westward Airways,CN,WWD,United States
Canadian National Airways,CN,YCP,Canada
Continental Airlines,CO,COA,United States
Continental Express,CO,,United States
Canadian Airlines,CP,CDN,Canada
Compass Airlines,CP,CPZ,United States
Sunshine Express Airlines,CQ,EXL,Australia
SOCHI AIR,CQ,KOL,Russia
OAG,CR,,United Kingdom
Air Ops,CR,\N,Sweden
Continental Micronesia,CS,CMI,United States
Civil Air Transport,CT,CAT,Taiwan
Alitalia Cityliner,CT,\N,Italy
Cubana de Aviación,CU,CUB,Cuba
Air Chathams,CV,CVA,New Zealand
Cargolux,CV,CLX,Luxembourg
Air Marshall Islands,CW,CWM,Marshall Islands
Cathay Pacific,CX,CPA,Hong Kong SAR of China
Cyprus Airways,CY,CYP,Cyprus
China Southern Airlines,CZ,CSN,China
Domenican Airlines,D1,MDO,Dominican Republic
Severstal Air Company,D2,\N,Russia
Daallo Airlines,D3,DAO,Djibouti
Alidaunia,D4,LID,Italy
Dauair,D5,DAU,Germany
Skyline nepc,D5,\N,India
NEPC Airlines,D5,\N,India
Interair South Africa,D6,ILN,South Africa
Dinar,D7,RDN,Argentina
AirAsia X,D7,XAX,Malaysia
Djibouti Airlines,D8,DJB,Djibouti
Aeroflot-Don,D9,DNV,Russia
Air Georgia,DA,GRG,Georgia
Dana Air,DA,\N,Nigeria
Brit Air,DB,BZH,France
Golden Air,DC,GAO,Sweden
Nok Air,DD,NOK,Thailand
Condor Flugdienst,DE,CFG,Germany
Michael Airlines,DF,MJG,Puerto Rico
South East Asian Airlines,DG,SRQ,Philippines
Discovery Airways,DH,DVA,United States
Independence Air,DH,IDE,United States
Dennis Sky,DH,DSY,Israel
dba,DI,BAG,Germany
Pacific Blue,DJ,PBN,New Zealand
Polynesian Blue,DJ,PLB,New Zealand
Virgin Blue,DJ,VBI,Australia
Eastland Air,DK,ELA,Australia
Delta Air Lines,DL,DAL,United States
Maersk,DM,,Denmark
Voronezhskie Airlanes,DN,\N,Russia
Alinord,DN,\N,Italy
Senegal Airlines,DN,SGG,Senegal
Dominicana de Aviaci,DO,DOA,Dominican Republic
First Choice Airways,DP,FCA,United Kingdom
Coastal Air,DQ,,United States
Air Mediterranee,DR,BIE,France
EasyJet (DS),DS,\N,Switzerland
TAAG Angola Airlines,DT,DTA,Angola
Hemus Air,DU,HMS,Bulgaria
Norwegian Long Haul AS,DU,NLH,Norway
Lufttaxi Fluggesellschaft,DV,LTF,Germany
Nantucket Airlines,DV,ACK,United States
Scat Air,DV,VSV,Kazakhstan
Aero-Charter Ukraine,DW,UCR,Ukraine
Deutsche Luftverkehrsgesellschaft,DW,DLT,Germany
Deutsche Luftverkehrsgesellschaft (DLT),DW,DWD,Germany
DAT Danish Air Transport,DX,DTR,Denmark
Norwegian Air Shuttle,DY,NAX,Norway
Starline.kz,DZ,\N,Kazakhstan
Eos Airlines,E0,ESS,United States
Usa Sky Cargo,E1,ES2,United States
Kampuchea Airlines,E2,KMP,Cambodia
Rio Grande Air,E2,GRN,United States
Eagle Atlantic Airlines,E2,\N,Ghana
Domodedovo Airlines,E3,DMO,Russia
Aero Asia International,E4,RSO,Pakistan
Elysian Airlines,E4,GIE,Cameroon
Samara Airlines,E5,BRZ,Russia
Air Arabia Egypt,E5,RBG,Egypt
Bringer Air Cargo Taxi Aereo,E6,,Brazil
Aviaexpresscruise,E6,\N,Russia
Estafeta Carga Aerea,E7,ESF,Mexico
European Aviation Air Charter,E7,EAF,United Kingdom
Alpi Eagles,E8,ELG,Italy
Alpi Eagles (E8),E8,\N,Italy
US Africa Airways,E8,\N,United States
City Airways,E8,GTA,Thailand
Boston-Maine Airways,E9,CXS,United States
AJT Air International,E9,\N,Russia
Compagnie Africaine d\\'Aviation,E9,\N,Congo (Kinshasa)
European Air Express,EA,EAL,Germany
Avialeasing Aviation Company,EC,TWN,Uzbekistan
Airblue,ED,ABQ,Pakistan
Aero Airlines,EE,EAY,Estonia
Nordica,EE,\N,Estonia
Far Eastern Air Transport,EF,EFA,Taiwan
Japan Asia Airways,EG,JAA,Japan
Air Nippon Network Co. Ltd.,EH,AKX,Japan
SAETA,EH,SET,Ecuador
Euro Harmony,EH,EHM,Portugal
Aer Lingus,EI,EIN,Ireland
New England Airlines,EJ,NEA,United States
